service,drone,reserve,safe_payload_kg,reason,energy_budget_kwh,energy_at_limit_kwh,rated_payload_kg,reachable
S004,B,0.45,,空载往返能量不足,2.2,,30,False
S004,C,0.45,,空载往返能量不足,4.4,,80,False
S005,A,0.45,25,额定载质量限制,2.475,2.244865011388093,25,True
S005,B,0.45,30,额定载质量限制,2.2,2.178257601126719,30,True
S005,C,0.45,63.91346037387848,往返安全能量限制,4.4,4.3999999938886125,80,True
S006,A,0.45,25,额定载质量限制,2.475,1.3896826004864364,25,True
S006,B,0.45,30,额定载质量限制,2.2,1.3500226341272559,30,True
S006,C,0.45,80,额定载质量限制,4.4,3.2532717885603226,80,True
S007,A,0.45,25,额定载质量限制,2.475,2.0179724910850116,25,True
S007,B,0.45,30,额定载质量限制,2.2,1.95981561942133,30,True
S007,C,0.45,75.39669394493103,往返安全能量限制,4.4,4.399999974028444,80,True
S008,A,0.45,,空载往返能量不足,2.475,,25,False
S008,B,0.45,,空载往返能量不足,2.2,,30,False
S008,C,0.45,,空载往返能量不足,4.4,,80,False
S009,A,0.45,25,额定载质量限制,2.475,2.3868888130198633,25,True
S009,B,0.45,27.615114748477936,往返安全能量限制,2.2,2.1999999966652024,30,True
S009,C,0.45,55.527599453926086,往返安全能量限制,4.4,4.399999981267181,80,True
S010,A,0.45,25,额定载质量限制,2.475,2.0707297630186403,25,True
S010,B,0.45,30,额定载质量限制,2.2,2.011040412354545,30,True
S010,C,0.45,72.30558156967163,往返安全能量限制,4.4,4.3999999738137685,80,True
S011,A,0.45,25,额定载质量限制,2.475,1.2195961128656,25,True
S011,B,0.45,30,额定载质量限制,2.2,1.1839226028325527,30,True
S011,C,0.45,80,额定载质量限制,4.4,2.8532102708956293,80,True
S012,A,0.45,,空载往返能量不足,2.475,,25,False
S012,B,0.45,,空载往返能量不足,2.2,,30,False
S012,C,0.45,,空载往返能量不足,4.4,,80,False
S013,A,0.45,25,额定载质量限制,2.475,2.07421509600092,25,True
S013,B,0.45,30,额定载质量限制,2.2,2.014429642036623,30,True
S013,C,0.45,71.74977898597717,往返安全能量限制,4.4,4.399999997505242,80,True
S014,A,0.45,25,额定载质量限制,2.475,2.4255872304885484,25,True
S014,B,0.45,26.60064071416855,往返安全能量限制,2.2,2.1999999749969286,30,True
S014,C,0.45,56.373342871665955,往返安全能量限制,4.4,4.399999993193153,80,True
S015,A,0.45,17.188909649848938,往返安全能量限制,2.475,2.474999993310356,25,True
S015,B,0.45,21.89254492521286,往返安全能量限制,2.2,2.1999999794167886,30,True
S015,C,0.45,42.499417662620544,往返安全能量限制,4.4,4.399999997896622,80,True
